Item,Label,Spearman_rho,p_value,N,Significant
Q1,Q1: Engagement,0.206,0.0003,303,Yes
Q2,Q2: Understanding,0.133,0.0214,300,Yes
Q3,Q3: Connection,0.198,0.0005,303,Yes
Q5,Q5: Attention,0.225,0.0001,302,Yes
Q6,Q6: Retelling,0.238,0.0,303,Yes
Q7,Q7: Enjoyment,0.297,0.0,302,Yes
Q8_R,Q8_R: Distress(rev),0.176,0.0021,302,Yes
Q9,Q9: Initiation,0.184,0.0013,303,Yes
Q10,Q10: Repetition,0.256,0.0,303,Yes
Q11,Q11: Creativity,0.139,0.0158,303,Yes
Q13,Q13: RelationImprove,0.239,0.0001,282,Yes
Q14,Q14: Expression,0.148,0.0101,301,Yes
Q18,Q18: StoryTheme,0.084,0.1456,302,No
Q20,Q20: ApplyLearning,0.21,0.0002,302,Yes
Q21,Q21: Confidence,0.193,0.0007,302,Yes
Q22,Q22: Generalise,0.185,0.0012,301,Yes
Q23,Q23: Recall,0.17,0.0034,296,Yes
Q24,Q24: Reflect,0.18,0.0017,302,Yes
Q25,Q25: LinkReal,0.186,0.0011,303,Yes
Q26,Q26: SocialImpact,0.311,0.0,285,Yes
